",,Sala,Sala,Sala,Sala,Sala,Sala"
"Austin Rivers\riverau01,DEN,$2401537,,,,,"
"Andre Drummond\drumman01,BRK,$2401537,,,,,"
"Cory Joseph\josepco01,DET,$7310000,$5155000,,,,"
"Cody Zeller\zelleco01,POR,$2389641,,,,,"
"Ben McLemore\mclembe01,POR,$2389641,,,,,"
"Solomon Hill\hillso01,NYK,$2389641,,,,,"
"Tony Snell\snellto01,NOP,$2389641,,,,,"
"Victor Oladipo\oladivi01,MIA,$2389641,,,,,"
"Dewayne Dedmon\dedmode01,MIA,$5256308,$2866667,$2866667,$2866667,,"
"Otto Porter Jr.\porteot01,GSW,$2389641,,,,,"
"Leandro Bolmaro\bolmale01,MIN,$2353320,$2471160,$2588400,$4392515,,"
"Usman Garuba\garubus01,HOU,$2353320,$2471160,$2588400,$4392515,,"
""
"Nassir Little\littlna01,POR,$2316240,$4171548,,,,"
"R.J. Hampton\hamptrj01,ORL,$2303040,$2412840,$4220057,,,"
"Josh Christopher\chrisjo01,HOU,$2259240,$2372160,$2485200,$4346615,,"
"Monta Ellis\ellismo01,IND,$2245400,,,,,"
"Elfrid Payton\paytoel01,PHO,$2239544,,,,,"
"Rodney Hood\hoodro01,LAC,$2239544,,,,,"
"Dylan Windler\windldy01,CLE,$2239200,$4037278,,,,"
"Immanuel Quickley\quickim01,NYK,$2210640,$2316240,$4171548,,,"
"John Konchar\konchjo01,MEM,$2197674,$2302326,$2406977,,,"
"Quentin Grimes\grimequ01,NYK,$2168760,$2277000,$2385720,$4296682,,"
"Jordan Poole\poolejo01,GSW,$2161440,$3901399,,,,"
"Bol Bol\bolbo01,ORL,$2161152,,,,,"
"Keldon Johnson\johnske04,SAS,$2145720,$3873025,,,,"
"Payton Pritchard\pritcpa01,BOS,$2137440,$2239200,$4037278,,,"
"Kevin Porter Jr.\porteke02,HOU,$2130240,$3845083,,,,"
"Bones Hyland\hylanbo01,DEN,$2096880,$2201400,$2306400,$4158439,,"
"Raul Neto\netora01,WAS,$2089448,,,,,"
"Frank Kaminsky\kaminfr01,PHO,$2089448,,,,,"
"Nemanja Bjelica\bjeline01,GSW,$2089448,,,,,"
"Udoka Azubuike\azubuud01,UTA,$2075880,$2174880,$3923484,,,"
"Jaden McDaniels\mcdanja02,MIN,$2063280,$2161440,$3901399,,,"
"Malachi Flynn\flynnma01,TOR,$2048040,$2145720,$3873025,,,"
"Cam Thomas\thomaca02,BRK,$2036280,$2138160,$2240040,$4041032,,"
"Desmond Bane\banede01,MEM,$2033160,$2130240,$3845083,,,"
"Jaden Springer\sprinja01,PHI,$2023800,$2125200,$2226360,$4018580,,"
"Day'Ron Sharpe\sharpda01,BRK,$2009040,$2109360,$2210160,$3989339,,"
"Jeremiah Robinson-Earl\robinje02,OKC,$2000000,$2000000,$1900000,$1988598,,"
"Killian Tillie\tilliki02,MEM,$2000000,$2000000,,,,"
"Abdel Nader\naderab01,PHO,$2000000,,,,,"
""
"Kenrich Williams\willike04,OKC,$2000000,$2000000,,,,"
"Santi Aldama\aldamsa01,MEM,$1994520,$2094240,$2194200,$3960531,,"
"Damian Jones\jonesda03,SAC,$1977011,,,,,"
"Wesley Matthews\matthwe02,MIL,$1958501,,,,,"
"Rodney McGruder\mcgruro01,DET,$1939350,,,,,"
"DeAndre' Bembry\bembrde01,BRK,$2541217,,,,,"
"Gary Payton II\paytoga02,GSW,$1939350,,,,,"
""
"PJ Dozier\doziepj01,ORL,$1910860,,,,,"
"Damion Lee\leeda03,GSW,$1910860,,,,,"
"Larry Sanders\sandela01,MIL,$1865547,,,,,"
"Shake Milton\miltosh01,PHI,$1846738,$1997718,,,,"
"Mitchell Robinson\robinmi01,NYK,$1802057,,,,,"
"Jalen Brunson\brunsja01,DAL,$1802057,,,,,"
"Dennis Smith Jr.\smithde03,POR,$1789256,,,,,"
"Malik Monk\monkma01,LAL,$1789256,,,,,"
"Semi Ojeleye\ojelese01,LAC,$1789256,,,,,"
"Frank Ntilikina\ntilila01,DAL,$1789256,$2036318,,,,"
"Tony Bradley\bradlto01,CHI,$1789256,$2036318,,,,"
"Didi Louzada\louzama01,POR,$1786878,$1876222,$1965566,$2057646,,"
"Daniel Gafford\gaffoda01,WAS,$1782621,$1930681,$12402000,$13394160,$14386320,"
"Terance Mann\mannte01,LAC,$1782621,$1930681,$10576923,$11423077,,"
"Eric Paschall\pascher01,UTA,$1782621,,,,,"
"KZ Okpala\okpalkz01,OKC,$1782621,,,,,"
"Carsen Edwards\edwarca01,MEM,$76744,$1815677,,,,"
"Bruno Fernando\fernabr01,HOU,$1782621,,,,,"
"Cody Martin\martico01,CHO,$1782621,,,,,"
"Nic Claxton\claxtni01,BRK,$1782621,,,,,"
"Luguentz Dort\dortlu01,OKC,$1782621,$1930681,,,,"
