Rk,Player,Pos,Age,Tm,G,MP,PERâ–¼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
116,Marcus Smart,PG,27,BOS,71,2296,13.6,0.54,0.501,0.249,2,10.5,6.4,25.6,2.6,0.7,16.6,18.3,,1.9,3.7,5.6,0.116,,-1.2,1.7,0.5,1.5
117,P.J. Washington,PF,23,CHO,65,1768,13.6,0.588,0.566,0.152,4.8,15.5,10.1,11.2,1.5,3.3,12.6,15.6,,1.8,1.6,3.4,0.091,,-0.2,0.2,-0.1,0.9
118,Cole Anthony,PG,21,ORL,65,2059,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,0.038,,-0.6,-0.6,-1.2,0.4
119,Kevin Porter Jr.,PG,21,HOU,61,1907,13.5,0.531,0.511,0.239,2.5,13,7.7,30.7,1.7,1,17.7,24.1,,0,0.8,0.8,0.021,,-0.1,-1.6,-1.6,0.2
120,Will Barton,SG,31,DEN,71,2277,13.4,0.548,0.48,0.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,,1.2,1.9,3.2,0.067,,0.4,-0.9,-0.5,0.9
121,Pat Connaughton,SG,29,MIL,65,1691,13.4,0.62,0.746,0.109,2.9,14,8.6,6.6,1.7,0.9,6.3,14,,2.8,1.6,4.4,0.125,,0.8,0.4,1.2,1.4
122,Terance Mann,SF,25,LAC,81,2317,13.4,0.572,0.301,0.238,4.9,14.3,9.7,13.1,1.2,0.8,9.9,16,,3.1,2.4,5.5,0.113,,-0.8,0.2,-0.6,0.8
123,Josh Giddey,SG,19,OKC,54,1700,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,,-1.3,1.7,0.4,0.01,,-1.2,0.3,-1,0.4
124,Luke Kennard,SG,25,LAC,70,1919,13.3,0.619,0.662,0.121,1.1,11.2,6.3,11.2,1.1,0.3,8.2,16.8,,2.8,1.7,4.5,0.113,,0.8,-0.3,0.5,1.2
125,Devin Vassell,SF,21,SAS,71,1937,13.3,0.54,0.497,0.13,2.4,14.3,8.3,9.7,1.9,1.8,6.7,18.9,,1.3,2,3.3,0.082,,-0.5,0,-0.5,0.7
126,Cade Cunningham,PG,20,DET,64,2088,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,,-2.4,1.9,-0.5,-0.011,,-1.1,-0.5,-1.6,0.2
127,Amir Coffey,SG,24,LAC,69,1567,13,0.598,0.545,0.251,1.8,11.2,6.7,11.4,1.2,0.8,8,15.8,,2.3,1.5,3.8,0.116,,-0.3,0,-0.3,0.7
