,,,Salary,,,,,,,
242,Tyler Herro,MIA,"$4,004,280","$5,722,116",,,,,1st Round Pick,"$9,726,396"
243,Dorian Finney-Smith,DAL,"$4,000,000","$12,402,000","$13,394,160","$14,386,320","$15,378,480",,Bird Rights,"$44,182,480"
244,Terence Davis,SAC,"$4,000,000","$4,000,000",,,,,Early Bird,"$8,000,000"
245,George Hill,MIL,"$4,000,000","$4,000,000",,,,,MLE,"$8,000,000"
246,Gorgui Dieng,ATL,"$4,000,000",,,,,,MLE,"$4,000,000"
247,Aaron Holiday,PHO,"$3,980,551",,,,,,1st Round Pick,"$3,980,551"
248,Joshua Primo,SAS,"$3,946,800","$4,144,320","$4,341,600","$5,982,725",,,1st Round Pick,"$8,091,120"
249,Jake Layman,MIN,"$3,940,184",,,,,,Sign and Trade,"$3,940,184"
250,Anfernee Simons,POR,"$3,938,818",,,,,,1st Round Pick,"$3,938,818"
251,Justise Winslow,POR,"$3,902,439","$4,097,561",,,,,Mini MLE,"$8,000,000"
252,Kira Lewis Jr.,NOP,"$3,822,240","$4,004,280","$5,722,116",,,,1st Round Pick,"$7,826,520"
253,Romeo Langford,SAS,"$3,804,360","$5,634,257",,,,,1st Round Pick,"$9,438,617"
254,Facundo Campazzo,DEN,"$3,804,150",,,,,,Bi-Annual Exception,"$3,804,150"
255,Landry Shamet,PHO,"$3,768,342","$9,598,214","$10,366,071","$11,133,929","$11,901,786",,1st Round Pick,"$46,768,342"
256,Chris Duarte,IND,"$3,749,520","$3,936,960","$4,124,280","$5,893,596",,,1st Round Pick,"$7,686,480"
257,Alex Len,SAC,"$3,731,707","$3,918,293",,,,,Bi-Annual Exception,"$7,650,000"
258,Robert Williams,BOS,"$3,661,976","$10,700,000","$11,556,000","$12,412,000","$13,268,000",,1st Round Pick,"$51,597,976"
259,Jevon Carter,BRK,"$4,107,149","$3,925,000",,,,,,"$7,575,000"
260,Aaron Nesmith,BOS,"$3,631,200","$3,804,360","$5,634,257",,,,1st Round Pick,"$7,435,560"
261,Moses Moody,GSW,"$3,562,080","$3,740,160","$3,918,480","$5,803,269",,,1st Round Pick,"$7,302,240"
